,apply link,job_role,comapanyjob,company_name,status,location,experiment
32,https://www.naukri.com/job-listings-junior-software-developer-python-xmplar-management-solutions-private-limited-bangalore-bengaluru-1-to-6-years-010922500290,Junior Software Developer - Python,https://www.naukri.com/xmplar-management-solutions-jobs-careers-1884872,Xmplar Management Solutions,Not disclosed,Bangalore/Bengaluru,1-6 Yrs
33,https://www.naukri.com/job-listings-software-engineer-hashedin-technologies-bangalore-bengaluru-1-to-5-years-221222502074,Software Engineer,https://www.naukri.com/hashedin-jobs-careers-1862138,HashedIn,Not disclosed,Bangalore/Bengaluru,1-5 Yrs
34,https://www.naukri.com/job-listings-associate-software-engineer-i-bright-tree-technologies-bangalore-bengaluru-1-to-3-years-221222501254,Associate Software Engineer I,https://www.naukri.com/bright-tree-technologies-jobs-careers-123585945,Bright Tree Technologies,Not disclosed,Bangalore/Bengaluru,1-3 Yrs
35,https://www.naukri.com/job-listings-junior-software-engineer-backend-kwalee-india-bangalore-bengaluru-1-to-6-years-161221001766,Junior Software Engineer - Backend,https://www.naukri.com/kwalee-india-jobs-careers-6463008,Kwalee India,Not disclosed,Bangalore/Bengaluru,1-6 Yrs
36,https://www.naukri.com/job-listings-software-engineer-truelark-bangalore-bengaluru-1-to-3-years-260322500443,Software Engineer,https://www.naukri.com/truelark-jobs-careers-5160630,Truelark,Not disclosed,Bangalore/Bengaluru,1-3 Yrs
37,https://www.naukri.com/job-listings-software-engineer-ii-dealersocket-bangalore-bengaluru-1-to-4-years-250822500514,Software Engineer - II,https://www.naukri.com/dealersocket-jobs-careers-5202202,Dealersocket,Not disclosed,Bangalore/Bengaluru,1-4 Yrs
38,https://www.naukri.com/job-listings-software-engineer-php-reconnect-energy-bangalore-bengaluru-0-to-4-years-310522501385,Software Engineer (Php) ,https://www.naukri.com/reconnect-energy-solutions-jobs-careers-3595442,Reconnect Energy Solutions,Not disclosed,Bangalore/Bengaluru,0-4 Yrs
39,https://www.naukri.com/job-listings-full-stack-developer-attribution-pvt-ltd-bangalore-bengaluru-1-to-6-years-151222006423,Full Stack Developer,https://www.naukri.com/attribution-jobs-careers-123558119,Attribution PVT LTD.,"3,50,000 - 7,00,000 PA.",Permanent Remote,1-6 Yrs
40,https://www.naukri.com/job-listings-software-engineer-backend-wakefit-innovations-private-limited-bangalore-bengaluru-1-to-3-years-170921500688,Software Engineer - Backend,https://www.naukri.com/wakefit-innovations-jobs-careers-5243214,Wakefit Innovations,Not disclosed,Bangalore/Bengaluru,1-3 Yrs
41,https://www.naukri.com/job-listings-software-engineer-nextgrowth-labs-bangalore-bengaluru-0-to-5-years-300322500810,Software Engineer,https://www.naukri.com/nextgrowth-labs-jobs-careers-6797793,Nextgrowth Labs,Not disclosed,Bangalore/Bengaluru,0-5 Yrs
42,https://www.naukri.com/job-listings-sde-ii-bright-money-bangalore-bengaluru-1-to-3-years-090822500489,SDE-II,https://www.naukri.com/bright-capital-jobs-careers-5257552,Bright Capital,Not disclosed,Bangalore/Bengaluru,1-3 Yrs
