apply link,company_name,status
https://www.naukri.com/job-listings-software-engineer-itron-inc-bangalore-bengaluru-1-to-4-years-301122500198,Itron,APPLY ON COMPANY SITE
https://www.naukri.com/job-listings-sde-ii-backend-supply-engineering-grofers-bangalore-bengaluru-1-to-3-years-290722500599,Blinkit,APPLIED
https://www.naukri.com/job-listings-software-engineer-flashblade-pure-storage-bangalore-bengaluru-1-to-4-years-280922502433,Pure Storage,APPLY ON COMPANY SITE
https://www.naukri.com/job-listings-sde-cue-math-pvt-ltd-bangalore-bengaluru-1-to-3-years-261022500022,Cue-math Pvt.ltd,APPLY ON COMPANY SITE
https://www.naukri.com/job-listings-storage-system-software-engineer-samsung-india-electronics-pvt-ltd-bangalore-bengaluru-1-to-4-years-071122501645,Samsung India,APPLY ON COMPANY SITE
https://www.naukri.com/job-listings-software-development-engineer-in-test-sdet-inflection-io-bangalore-bengaluru-1-to-4-years-011222500590,Inflection.io,APPLY ON COMPANY SITE
https://www.naukri.com/job-listings-software-engineer-vrddhi-insurance-brokers-bangalore-bengaluru-1-to-3-years-011122500847,Vrddhi Insurance Brokers,APPLY ON COMPANY SITE
https://www.naukri.com/job-listings-sde-iii-backend-supply-engineering-grofers-bangalore-bengaluru-1-to-4-years-290722500614,Blinkit,APPLIED
https://www.naukri.com/job-listings-software-development-engineer-in-test-trellix-bangalore-bengaluru-1-to-4-years-280522501008,Musarubra Software,APPLY ON COMPANY SITE
https://www.naukri.com/job-listings-software-engineer-python-coding-taurus-hard-soft-solutions-pvt-ltd-bengaluru-bangalore-1-to-5-years-261115500112,Taurus Hard Soft Solutions,APPLY ON COMPANY SITE
